topic_id,keywords
0,"messed, interview, bad, need, messed career, things, did, realized, ve, got"
1,"wish, things, sooner, better, earlier, wish known, known, wish better, help, instead"
2,"regret, decision, regret decision, degree, did, years, deeply, college, things, lot"
3,"like, feel, feel like, like messed, like regret, help feel, help, like wish, sure, good"
4,"know, know messed, don know, trying, don, right, situation, wasn, fix, let know"
5,"think, think messed, messed, think regret, help, education, messed job, don think, filing, rfe"
6,"job, offer, job offer, new, new job, taking, regret taking, quit, leaving, started"
7,"time, big, messed big, big time, wish time, really, time messed, work, time regret, thing"
8,"don, want, don want, don know, career, make, tell, want make, relationship, life"
9,"just, wish just, said, really, years, ve, fucked, got, told, did"
